Method Times by Caller (times inclusive): 32757 ticks
  1: java.lang.Object.<init>: 79,91% (26177 inclusive / 26177 exclusive)
  1: parser.ParseData.<init>: 46,49% (15229 inclusive / 0 exclusive)
    2: parser.ParseErrors.<init>: 19,16% (6276 inclusive / 0 exclusive)
      3: java.lang.Object.<init>: 10,07% (3300 inclusive / 3300 exclusive)
      3: java.util.ArrayList.<init>: 9,09% (2976 inclusive / 2976 exclusive)
    2: java.lang.Object.<init>: 18,52% (6065 inclusive / 6065 exclusive)
    2: java.util.ArrayList.<init>: 8,82% (2888 inclusive / 0 exclusive)
      3: java.util.ArrayList.<init>: 8,82% (2888 inclusive / 2888 exclusive)
  1: parser.Matcher.parse: 46,49% (15229 inclusive / 0 exclusive)
    2: parser.ParseData.<init>: 46,49% (15229 inclusive / 0 exclusive)
      3: parser.ParseErrors.<init>: 19,16% (6276 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 10,07% (3300 inclusive / 3300 exclusive)
        4: java.util.ArrayList.<init>: 9,09% (2976 inclusive / 2976 exclusive)
      3: java.lang.Object.<init>: 18,52% (6065 inclusive / 6065 exclusive)
      3: java.util.ArrayList.<init>: 8,82% (2888 inclusive / 0 exclusive)
        4: java.util.ArrayList.<init>: 8,82% (2888 inclusive / 2888 exclusive)
  1: java.util.ArrayList.<init>: 36,47% (11947 inclusive / 5864 exclusive)
    2: java.util.AbstractList.<init>: 18,57% (6083 inclusive / 0 exclusive)
      3: java.util.AbstractCollection.<init>: 18,57% (6083 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 18,57% (6083 inclusive / 6083 exclusive)
  1: parser.ParseErrors.<init>: 19,16% (6276 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 10,07% (3300 inclusive / 3300 exclusive)
    2: java.util.ArrayList.<init>: 9,09% (2976 inclusive / 2976 exclusive)
  1: parser.LimitedMemo.get: 18,72% (6131 inclusive / 0 exclusive)
    2: parser.Matcher.parse: 18,52% (6065 inclusive / 0 exclusive)
      3: parser.ParseData.<init>: 18,52% (6065 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 18,52% (6065 inclusive / 6065 exclusive)
    2: parser.LimitedMemo$Memoed.<init>: 0,2% (66 inclusive / 0 exclusive)
      3: parser.LimitedMemo$Memoed.<init>: 0,2% (66 inclusive / 41 exclusive)
        4: java.lang.Object.<init>: 0,08% (25 inclusive / 25 exclusive)
  1: java.util.AbstractCollection.<init>: 18,57% (6083 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 18,57% (6083 inclusive / 6083 exclusive)
  1: java.util.AbstractList.<init>: 18,57% (6083 inclusive / 0 exclusive)
    2: java.util.AbstractCollection.<init>: 18,57% (6083 inclusive / 0 exclusive)
      3: java.lang.Object.<init>: 18,57% (6083 inclusive / 6083 exclusive)
  1: java.lang.Number.<init>: 9,79% (3208 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 9,79% (3208 inclusive / 3208 exclusive)
  1: java.lang.Integer.<init>: 9,79% (3208 inclusive / 0 exclusive)
    2: java.lang.Number.<init>: 9,79% (3208 inclusive / 0 exclusive)
      3: java.lang.Object.<init>: 9,79% (3208 inclusive / 3208 exclusive)
  1: java.lang.Integer.valueOf: 9,79% (3208 inclusive / 0 exclusive)
    2: java.lang.Integer.<init>: 9,79% (3208 inclusive / 0 exclusive)
      3: java.lang.Number.<init>: 9,79% (3208 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 9,79% (3208 inclusive / 3208 exclusive)
  1: java.util.AbstractList$Itr.<init>: 5,48% (1795 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 5,48% (1795 inclusive / 1795 exclusive)
  1: java.util.AbstractList.iterator: 5,48% (1795 inclusive / 0 exclusive)
    2: java.util.AbstractList$Itr.<init>: 5,48% (1795 inclusive / 0 exclusive)
      3: java.util.AbstractList$Itr.<init>: 5,48% (1795 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 5,48% (1795 inclusive / 1795 exclusive)
  1: java.util.ArrayList.iterator: 4,57% (1498 inclusive / 0 exclusive)
    2: java.util.ArrayList$Itr.<init>: 4,57% (1498 inclusive / 0 exclusive)
      3: java.util.ArrayList$Itr.<init>: 4,57% (1498 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 4,57% (1498 inclusive / 1498 exclusive)
  1: java.util.ArrayList$Itr.<init>: 4,57% (1498 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 4,57% (1498 inclusive / 1498 exclusive)
  1: parser.Matcher.succeed: 4,37% (1431 inclusive / 0 exclusive)
    2: parser.ParseData.succeed: 4,37% (1431 inclusive / 0 exclusive)
      3: parser.Match.<init>: 4,37% (1431 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 4,37% (1431 inclusive / 1431 exclusive)
  1: parser.ParseData.succeed: 4,37% (1431 inclusive / 0 exclusive)
    2: parser.Match.<init>: 4,37% (1431 inclusive / 0 exclusive)
      3: java.lang.Object.<init>: 4,37% (1431 inclusive / 1431 exclusive)
  1: parser.Match.<init>: 4,37% (1431 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 4,37% (1431 inclusive / 1431 exclusive)
  1: java.lang.String.substring: 4,21% (1380 inclusive / 0 exclusive)
    2: java.lang.String.<init>: 4,21% (1380 inclusive / 0 exclusive)
      3: java.lang.Object.<init>: 4,21% (1380 inclusive / 1380 exclusive)
  1: source.SourceFileText.at: 4,21% (1380 inclusive / 0 exclusive)
    2: java.lang.String.substring: 4,21% (1380 inclusive / 0 exclusive)
      3: java.lang.String.<init>: 4,21% (1380 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 4,21% (1380 inclusive / 1380 exclusive)
  1: java.lang.String.<init>: 4,21% (1380 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 4,21% (1380 inclusive / 1380 exclusive)
  1: java.util.Collections$UnmodifiableRandomAccessList.<init>: 4,19% (1374 inclusive / 0 exclusive)
    2: java.util.Collections$UnmodifiableList.<init>: 4,19% (1374 inclusive / 0 exclusive)
      3: java.util.Collections$UnmodifiableCollection.<init>: 4,19% (1374 inclusive / 0 exclusive)
        4: java.lang.Object.<init>: 4,19% (1374 inclusive / 1374 exclusive)
  1: java.util.Collections$UnmodifiableCollection.<init>: 4,19% (1374 inclusive / 0 exclusive)
    2: java.lang.Object.<init>: 4,19% (1374 inclusive / 1374 exclusive)
  1: java.util.Collections$UnmodifiableList.<init>: 4,19% (1374 inclusive / 0 exclusive)
    2: java.util.Collections$UnmodifiableCollection.<init>: 4,19% (1374 inclusive / 0 exclusive)
